doc_id,faithfulness_score
article_001,0.0000
article_002,0.0000
article_003,0.0000
article_004,0.0000
article_005,0.0000
article_006,0.0000
article_007,0.0000
article_008,0.0000
article_009,0.0000
article_010,0.0000
article_011,0.0000
article_012,0.0000
article_013,0.0000
article_014,0.0000
article_015,0.0000
article_016,0.0000
article_017,0.0000
article_018,0.0000
article_019,0.0000
article_020,0.0000
article_021,0.0000
article_022,0.0000
article_023,0.0000
article_024,0.0000
article_025,0.0000
article_026,0.0000
article_027,0.0000
article_028,0.0000
article_029,0.0000
article_030,0.0000
article_031,0.0000
article_032,0.0000
article_033,0.0000
article_034,0.0000
article_035,0.0000
article_036,0.0000
article_037,0.0000
article_038,0.0000
article_039,0.0000
article_040,0.0000
article_041,0.0000
article_042,0.0000
article_043,0.0000
article_044,0.0000
article_045,0.0000
article_046,0.0000
article_047,0.0000
article_048,0.0000
article_049,0.0000
article_050,0.0000
article_051,0.0000
article_052,0.0000
article_053,0.0000
article_054,0.0000
article_055,0.0000
article_056,0.0000
article_057,0.0000
article_058,0.0000
article_059,0.0000
article_060,0.0000
article_061,0.0000
article_062,0.0000
article_063,0.0000
article_064,0.0000
article_065,0.0000
article_066,0.0000
article_067,0.0000
article_068,0.0000
article_069,0.0000
article_070,0.0000
article_071,0.0000
article_072,0.0000
article_073,0.0000
article_074,0.0000
article_075,0.0000
article_076,0.0000
article_077,0.0000
article_078,0.0000
article_079,0.0000
article_080,0.0000
article_081,0.0000
article_082,0.0000
article_083,0.0000
article_084,0.0000
article_085,0.0000
article_086,0.0000
article_087,0.0000
article_088,0.0000
article_089,0.0000
article_090,0.0000
article_091,0.0000
article_092,0.0000
article_093,0.0000
article_094,0.0000
article_095,0.0000
article_096,0.0000
article_097,0.0000
article_098,0.0000
article_099,0.0000
article_100,0.0000
article_101,0.0000
article_102,0.0000
article_103,0.0000
article_104,0.0000
article_105,0.0000
article_106,0.0000
article_107,0.0000
article_108,0.0000
article_109,0.0000
article_110,0.0000
article_111,0.0000
article_112,0.0000
article_113,0.0000
article_114,0.0000
article_115,0.0000
article_116,0.0000
article_117,0.0000
article_118,0.0000
article_119,0.0000
article_120,0.0000
article_121,0.0000
article_122,0.0000
article_123,0.0000
article_124,0.0000
article_125,0.0000
article_126,0.0000
article_127,0.0000
article_128,0.0000
article_129,0.0000
article_130,0.0000
article_131,0.0000
article_132,0.0000
article_133,0.0000
article_134,0.0000
article_135,0.0000
article_136,0.0000
article_137,0.0000
article_138,0.0000
article_139,0.0000
article_140,0.0000
article_141,0.0000
article_142,0.0000
article_143,0.0000
article_144,0.0000
article_145,0.0000
article_146,0.0000
article_147,0.0000
article_148,0.0000
article_149,0.0000
article_150,0.0000
