article_id,Completeness Score,Conciseness Score
article_001,12.5%,20.0%
article_002,43.8%,83.3%
article_003,18.8%,60.0%
article_004,6.2%,20.0%
article_005,12.5%,40.0%
article_006,18.8%,60.0%
article_007,18.8%,40.0%
article_008,12.5%,40.0%
article_009,25.0%,66.7%
article_010,6.2%,20.0%
article_011,12.5%,40.0%
article_012,25.0%,40.0%
article_013,6.2%,20.0%
article_014,12.5%,40.0%
article_015,18.8%,40.0%
article_016,31.2%,40.0%
article_017,6.2%,20.0%
article_018,12.5%,40.0%
article_019,12.5%,40.0%
article_020,31.2%,80.0%
article_021,25.0%,60.0%
article_022,0.0%,0.0%
article_023,37.5%,83.3%
article_024,25.0%,60.0%
article_025,6.2%,20.0%
article_026,0.0%,0.0%
article_027,12.5%,40.0%
article_028,0.0%,0.0%
article_029,12.5%,40.0%
article_030,12.5%,40.0%
article_031,18.8%,60.0%
article_032,18.8%,60.0%
article_033,25.0%,40.0%
article_034,6.2%,20.0%
article_035,0.0%,0.0%
article_036,37.5%,80.0%
article_037,37.5%,80.0%
article_038,25.0%,80.0%
article_039,18.8%,60.0%
article_040,6.2%,20.0%
article_041,12.5%,40.0%
article_042,18.8%,40.0%
article_043,0.0%,0.0%
article_044,0.0%,0.0%
article_045,6.2%,20.0%
article_046,18.8%,80.0%
article_047,18.8%,60.0%
article_048,6.2%,20.0%
article_049,10.0%,20.0%
article_050,6.2%,20.0%
article_051,12.5%,40.0%
article_052,0.0%,0.0%
article_053,33.3%,100.0%
article_054,38.5%,60.0%
article_055,0.0%,0.0%
article_056,43.8%,80.0%
article_057,6.2%,20.0%
article_058,7.7%,16.7%
article_059,25.0%,80.0%
article_060,25.0%,80.0%
article_061,12.5%,40.0%
article_062,12.5%,40.0%
article_063,18.8%,40.0%
article_064,25.0%,40.0%
article_065,25.0%,80.0%
article_066,18.8%,60.0%
article_067,18.8%,60.0%
article_068,25.0%,100.0%
article_069,18.8%,50.0%
article_070,12.5%,40.0%
article_071,18.8%,60.0%
article_072,0.0%,0.0%
article_073,12.5%,40.0%
article_074,6.2%,20.0%
article_075,12.5%,40.0%
article_076,12.5%,40.0%
article_077,6.2%,20.0%
article_078,20.0%,40.0%
article_079,12.5%,40.0%
article_080,25.0%,60.0%
article_081,12.5%,40.0%
article_082,23.1%,60.0%
article_083,0.0%,0.0%
article_084,18.8%,40.0%
article_085,25.0%,60.0%
article_086,25.0%,60.0%
article_087,12.5%,40.0%
article_088,41.7%,40.0%
article_089,8.3%,20.0%
article_090,7.1%,16.7%
article_091,0.0%,0.0%
article_092,0.0%,0.0%
article_093,0.0%,0.0%
article_094,7.1%,16.7%
article_095,14.3%,40.0%
article_096,12.5%,40.0%
article_097,18.8%,60.0%
article_098,12.5%,40.0%
article_099,14.3%,40.0%
article_100,7.1%,20.0%
article_101,6.2%,20.0%
article_102,9.1%,20.0%
article_103,21.4%,60.0%
article_104,0.0%,0.0%
article_105,0.0%,0.0%
article_106,18.8%,60.0%
article_107,37.5%,60.0%
article_108,12.5%,40.0%
article_109,0.0%,0.0%
article_110,12.5%,33.3%
article_111,18.8%,60.0%
article_112,6.2%,20.0%
article_113,6.2%,20.0%
article_114,6.2%,20.0%
article_115,12.5%,40.0%
article_116,12.5%,16.7%
article_117,6.2%,20.0%
article_118,6.2%,20.0%
article_119,31.2%,60.0%
article_120,6.2%,20.0%
article_121,0.0%,0.0%
article_122,12.5%,40.0%
article_123,6.2%,20.0%
article_124,18.8%,40.0%
article_125,6.2%,16.7%
article_126,0.0%,0.0%
article_127,0.0%,0.0%
article_128,12.5%,60.0%
article_129,0.0%,0.0%
article_130,0.0%,0.0%
article_131,0.0%,0.0%
article_132,12.5%,40.0%
article_133,31.2%,60.0%
article_134,13.3%,20.0%
article_135,12.5%,40.0%
article_136,18.8%,40.0%
article_137,25.0%,60.0%
article_138,31.2%,60.0%
article_139,31.2%,60.0%
article_140,0.0%,0.0%
article_141,18.8%,33.3%
article_142,6.2%,20.0%
article_143,12.5%,33.3%
article_144,0.0%,0.0%
article_145,25.0%,60.0%
article_146,31.2%,80.0%
article_147,25.0%,60.0%
article_148,37.5%,100.0%
article_149,33.3%,60.0%
article_150,6.2%,20.0%
